name,positive,negative
Body Painting,"body painting of {prompt}, human canvas, vibrant, detailed, transformative, expressive,"traditional canvas, subtle, clean, realistic, monochromatic"
Spray Paint,"spray paint art of {prompt}, street style, vibrant, spontaneous, bold, rough,"refined, soft, delicate, precise, clean, photorealistic"
Grisaille,"grisaille painting of {prompt}, monochromatic, detailed, realistic, refined, tonal,"colorful, abstract, loose, impressionistic, simple"
Stippling,"stippled technique on {prompt}, dotted, texture, detailed, graphic, intricate,"smooth, solid, loose, brushy, blended"
Pastel,"pastel drawing of {prompt}, soft, colorful, delicate, expressive, textured,"sharp, bold, clean, precise, digital"
Encaustic,"encaustic painting of {prompt}, wax, textured, layered, luminous, rich,"flat, smooth, simple, clean, dry, photorealistic"
Macrame,"macrame style {prompt}, knotted, textile, intricate, handmade, decorative,"smooth, flat, hard, precise, digital"
Graffiti Stencil,"graffiti stencil art of {prompt}, urban, bold, vibrant, street style, graphic,"elegant, refined, soft, traditional, photorealistic"
Action Painting,"action painting of {prompt}, spontaneous, energetic, abstract, expressive, bold,"precise, slow, realistic, photographic, unemotional"
Batik,"batik style {prompt}, dyed, vibrant, patterned, textile, decorative,"plain, unpatterned, hard, smooth, clean, digital"
Folk Art,"folk art depiction of {prompt}, traditional, handmade, decorative, vibrant, detailed,"modern, digital, simple, clean, minimalistic"
Glitch Art,"glitch art of {prompt}, distorted, digital, vibrant, abstract, modern,"refined, traditional, realistic, photographic, unaltered"
Chiaroscuro,"chiaroscuro technique on {prompt}, high contrast, dramatic, realistic, refined, tonal,"flat, dull, abstract, impressionistic, simple"
Gouache,"gouache painting of {prompt}, vibrant, opaque, smooth, rich, detailed,"transparent, loose, rough, dull, photorealistic"
High-Fashion, "{prompt} in haute couture, Luxury, designer brands, runway-ready, tailored, chic", "casual, sporty, laid-back, street style, loose"
Casual-Chic, "{prompt} in a casual chic outfit, Comfortable, stylish, modern, accessible", "formal, high fashion, flamboyant, extravagant"
Streetwear, "{prompt} rocking the streetwear trend, Urban, hip-hop influence, sneakers, caps, oversized", "preppy, conservative, formal, traditional"
Athletic, "{prompt} in athletic wear, Sporty, gym-ready, functional, sneakers, activewear", "evening wear, formal, business, relaxed"
Vintage, "{prompt} in a vintage ensemble, Retro, nostalgia, classic styles, second-hand", "modern, futuristic, minimalist, new"
Bohemian, "{prompt} in boho fashion, Free-spirited, layered, patterns, ethnic-inspired, fringe", "minimalist, structured, monochromatic, sleek"
Minimalist, "{prompt} sporting minimalist fashion, Simple, clean lines, neutral colors, unfussy", "vintage, boho, flamboyant, colorful"
Preppy, "{prompt} dressed in preppy style, Collegiate, clean-cut, conservative, layered", "gothic, punk, casual, relaxed"
Gothic, "{prompt} in a gothic getup, Dark, leather, lace, Victorian influence", "preppy, pastel, boho, bright"
Punk, "{prompt} with a punk look, Rebellious, grungy, band tees, ripped denim", "preppy, classic, conservative, formal"
Grunge, "{prompt} sporting a grunge look, '90s influence, flannel, band tees, distressed", "preppy, glamorous, feminine, tailored"
Glamorous, "{prompt} looking glamorous, Luxury, sequins, fur, red carpet ready", "casual, relaxed, sporty, minimalist"
Rocker, "{prompt} rocking the rock style, Leather, band tees, edgy, black", "preppy, pastel, boho, cute"
Hipster, "{prompt} in a hipster outfit, Eclectic, indie, non-mainstream, vintage", "mainstream, sporty, glamorous, preppy"
Ethical, "{prompt} wearing ethical fashion, Sustainable, fair trade, organic materials, eco-friendly", "fast fashion, synthetic, mass-produced, cheap"
Business Casual, "{prompt} dressed in business casual, Semi-formal, tailored, smart, professional", "sporty, casual, grunge, punk"
Beachwear, "{prompt} in beachwear, Bikinis, cover-ups, sandals, straw hats, light fabrics", "winter wear, formal, business, structured"
Activewear, "{prompt} in stylish activewear, Sporty, comfortable, functional, athleisure", "evening wear, formal, preppy, boho"
Country, "{prompt} sporting country style, Western, cowboy boots, plaid, denim", "gothic, punk, high fashion, glamorous"
Military, "{prompt} wearing military-inspired fashion, Camouflage, khaki, structured, badges", "boho, glamorous, preppy, beachwear"
Kawaii, "{prompt} in Kawaii style, Cute, pastel, girly, anime-inspired, frilly", "gothic, punk, grunge, minimalist"
Lolita, "{prompt} in a Lolita ensemble, Victorian-inspired, frilly, bows, lace, layered", "minimalist, sporty, casual, business"
Formal, "{prompt} dressed in formal wear, Black tie, tuxedo, evening gown, polished", "casual, sporty, grunge, beachwear"
Tomboy, "{prompt} rocking a tomboy look, Androgynous, loose, sneakers, caps", "glamorous, feminine, boho, preppy"
Normcore, "{prompt} dressed in normcore, Unpretentious, casual, basics, comfortable", "high fashion, glamorous, punk, gothic"
Artistic, "{prompt} in an artistic outfit, Creative, unique, expressive, handmade", "preppy, conservative, business, traditional"
Genderless, "{prompt} in genderless fashion, Androgynous, neutral, modern, unisex", "feminine, masculine, glam, preppy"
Monochromatic, "{prompt} in a monochromatic look, Single color, sleek, modern, minimalist", "colorful, vibrant, patterned, boho"
Mod, "{prompt} dressed in Mod style, '60s influence, A-line, geometric patterns, bold", "boho, grunge, minimalist, normcore"
Harajuku, "{prompt} in Harajuku style, Japanese street fashion, eclectic, colorful, anime", "conservative, preppy, minimalist, business"
Cyberpunk, "{prompt} in a cyberpunk outfit, Futuristic, dystopian, metallic, neon", "vintage, retro, classic, boho"
Rave, "{prompt} in rave wear, Bright colors, neon, sequins, fur", "business casual, preppy, conservative, minimalist"
Hippy, "{prompt} in hippy style, '70s influence, tie-dye, bell-bottoms, fringe", "preppy, conservative, formal, modern"
Skater, "{prompt} rocking skater style, Casual, sneakers, baggy, sporty, laid-back", "formal, glamorous, high fashion, preppy"
Pin-Up, "{prompt} in a pin-up style, Retro, '50s influence, feminine, curves", "gothic, grunge, sporty, tomboy"
Nautical, "{prompt} in a nautical outfit, Sailor-inspired, stripes, navy, white, red", "gothic, punk, grunge, boho"
Futuristic, "{prompt} in futuristic fashion, Metallic, geometric, avant-garde, high-tech", "vintage, classic, traditional, retro"
Eccentric, "{prompt} in an eccentric ensemble, Unique, quirky, stand-out, individualistic", "traditional, classic, conservative, minimalist"
Tailored, "{prompt} in a tailored suit, Formal, professional, sleek, well-fitted", "casual, relaxed, oversized, loose"
Sustainable, "{prompt} in sustainable fashion, Eco-friendly, organic, recycled materials, fair trade", "fast fashion, synthetic, cheap, disposable"
Traditional, "{prompt} in a traditional outfit, Ethnic, regional, cultural, heritage", "modern, futuristic, western, mainstream"
Candid, "{prompt} captured in a candid moment, Unposed, natural, spontaneous, real-life situation", "posed, artificial, studio shot, planned"
Portrait, "portrait shot of {prompt}, Close-up, eyes on camera, clear, sharp", "wide shot, landscape, blurred, candid"
Lifestyle, "lifestyle photo of {prompt}, Everyday activities, real-life situations, relatable", "fantasy, staged, surreal, unrealistic"
Editorial, "editorial shot of {prompt}, Fashion-forward, styled, professional, magazine-ready", "casual, candid, unstyled, amateur"
Glamour, "glamour shot of {prompt}, Beauty focused, make-up, lighting, seductive", "natural, minimal, candid, unglamorous"
Fitness, "fitness photo of {prompt}, Athletic, workout gear, active, strong", "laid back, casual, non-athletic, inactive"
Boudoir, "boudoir shot of {prompt}, Intimate, sensual, classy, tasteful", "public, conservative, modest, non-intimate"
Silhouette, "silhouette photo of {prompt}, Dramatic, backlighting, mysterious, creative", "frontlit, clear, detailed, revealing"
Maternity, "maternity shot of {prompt}, Pregnancy, baby bump, motherhood, glowing", "non-pregnant, childless, pre-pregnancy, post-pregnancy"
Black and White, "black and white photo of {prompt}, Monochrome, timeless, artistic, dramatic", "color, vibrant, modern, digital"
Pin-Up, "pin-up style photo of {prompt}, Retro, feminine, seductive, fun", "modern, conservative, modest, non-vintage"
Headshot, "headshot of {prompt}, Professional, clear, neutral background, focused", "full body, casual, distracting background, unfocused"
Full Body, "full body shot of {prompt}, Whole outfit, clear, sharp, balanced", "close up, cropped, blurry, unbalanced"
High Fashion, "high fashion photo of {prompt}, Designer clothes, dramatic poses, avant-garde", "casual, candid, natural, mainstream fashion"
Business, "business photo of {prompt}, Professional attire, workplace setting, confident", "casual, relaxed, non-work, insecure"
Beach, "beach photo of {prompt}, Swimwear, sand, ocean, relaxed", "urban, winter, formal, stressed"
Lingerie, "lingerie shot of {prompt}, Intimate apparel, sensual, feminine, seductive", "outerwear, modest, masculine, non-sensual"
Athletic, "athletic shot of {prompt}, Sportswear, action, energy, strength", "leisure, inactive, weak, non-sporty"
Close-up, "close-up photo of {prompt}, Detailed, intimate, clear, personal", "wide shot, distant, blurry, impersonal"
Nature, "nature shot with {prompt}, Outdoors, greenery, natural light, fresh", "indoor, city, artificial light, stale"
Studio, "studio shot of {prompt}, Controlled lighting, plain background, clear", "outdoor, natural light, busy background, unclear"
Street, "street shot of {prompt}, Urban, casual, candid, trendy", "rural, formal, posed, traditional"
Dance, "dance photo of {prompt}, Movement, grace, energy, rhythm", "static, clumsy, lethargic, off-beat"
Vintage, "vintage style photo of {prompt}, Retro, nostalgic, old-fashioned, timeless", "modern, futuristic, trendy, transient"
Low Light, "low light photo of {prompt}, Ambient, moody, dramatic, shadowy", "bright, cheerful, flat, clear"
Underwater, "underwater photo of {prompt}, Aquatic, serene, dreamlike, floaty", "land, hectic, realistic, heavy"
Action, "action shot of {prompt}, Movement, energy, dynamic, intense", "still, calm, static, gentle"
Fashion, "fashion shot of {prompt}, Trendy outfit, styled, runway-ready, chic", "plain, unstyled, out of style, ordinary"
Aerial, "aerial shot of {prompt}, Birds-eye view, grand, adventurous, stunning", "ground level, confined, cautious, underwhelming"
Music, "music-related shot of {prompt}, Playing an instrument, singing, energetic, passionate", "quiet, uninterested, uninvolved, lackluster"
Abstract, "abstract photo of {prompt}, Artistic, unique, creative, unconventional", "concrete, literal, conventional, uncreative"
Fine Art, "fine art photo of {prompt}, Conceptual, creative, artistic, aesthetic", "commercial, literal, uncreative, unaesthetic"
Cityscape, "cityscape shot with {prompt}, Urban, skyline, architectural, dynamic", "rural, landscape, natural, static"
Landscape, "landscape shot with {prompt}, Scenic, outdoors, grand, beautiful", "indoor, close-up, confined, unattractive"
Macro, "macro shot of {prompt}, Extremely close-up, detailed, intricate, revealing", "wide shot, undetailed, simple, concealing"
Golden Hour, "golden hour shot of {prompt}, Warm light, sunset/sunrise, magical, serene", "midday, harsh light, mundane, agitated"
Blue Hour, "blue hour shot of {prompt}, Cool light, twilight, peaceful, moody", "midday, harsh light, chaotic, flat"
Night, "night shot of {prompt}, Dark, lit, moody, mysterious", "daytime, bright, cheerful, clear"
Reflection, "reflection shot of {prompt}, Mirror image, symmetry, creative, thoughtful", "direct, asymmetrical, uncreative, thoughtless"
Backlit, "backlit photo of {prompt}, Silhouette, dramatic, artistic, shadowy", "frontlit, flat, unartistic, clear"
Overhead, "overhead shot of {prompt}, Top-down view, unique perspective, revealing", "low angle, ordinary perspective, concealing"
